Concept_Name,TermType,Template_ID,LOINC_Code,LOINC_Code2,Excluded,Compound,Notes
Chronic Complications of Diabetes,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Chronic complications to your diabetes?,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Chronic Complications-Other,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Chronic problem(s),Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Chronological History of Present Illness (incl interventions),History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,Y,NULL
Clearance/Restrictions,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,?
Clinic Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Clinic problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Clinical Care,Plan of Care Section,2.16.840.1.113883.10.20.22.2.10,18776-5,NULL,N,NULL,NULL
Clinical Course,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Clinical Impression,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Clinical Nutrition Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Clinical Presentation,Clinical Presentation,N/A,55108-5,NULL,N,NULL,NULL
Clinical Research Visit,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,NULL
Clinician's Response,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Code Status,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Cognitive Behavioral Interventions,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Color Vision Color,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,?
Colposcopy Examination,Procedure Findings,2.16.840.1.113883.10.20.22.2.28,59776-5,NULL,N,NULL,?
Colposcopy Nursing Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Comment,Addendum,N/A,55107-7,NULL,N,NULL,?
Comment/result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Comments,Addendum,N/A,55107-7,NULL,N,NULL,?
Comorbidities,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Comorbidities Consult Letter,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,?
Co-morbidity Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Complaints/Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
"Complaints/Problems (assess for s/s of sleep apnea, angina, pre-syncope, palpitations, SOB, othropnea, PND, lightheadedness or dizziness)",Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,Y,NULL
Complementary Therapies/OTC Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
"Complete - If you check yes and the patient has not yet concluded DSME, please select a new behavioral objective",Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Complete Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Compliance ,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Complications,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Complications Child,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Complications Maternal,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Complications of Treatment,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Concerning Lab Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
conclusions,Conclusions,N/A,55110-1,NULL,N,NULL,NULL
Conclusions/Recommendations,Conclusions,N/A,55110-1,NULL,N,NULL,NULL
Concomitant medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
condition at discharge,Hospital Discharge Diagnosis Section,2.16.840.1.113883.10.20.22.2.24,11535-2,NULL,N,NULL,NULL
condition on discharge,Hospital Discharge Diagnosis Section,2.16.840.1.113883.10.20.22.2.24,11535-2,NULL,N,NULL,NULL
Confidentiality,Advance Directives Section,2.16.840.1.113883.10.20.22.2.21,42348-3,NULL,N,NULL,?
Confirm patient understanding regarding newly prescribed medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Connection Pediatrics,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Consent for anesthesia,Anesthesia Section,2.16.840.1.113883.10.20.22.2.25,59774-0,NULL,N,NULL,NULL
Consent for procedure,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Consent forms,Addendum,N/A,55107-7,NULL,N,NULL,NULL
Constipation,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,maybe take this out?
Constitutional / Vital Signs,Vital Signs Section,2.16.840.1.113883.10.20.22.2.4,8716-3,NULL,N,NULL,NULL
Consult History,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Consult Letter,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Consult Services,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
CONSULT VISIT,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Consult:,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Consultation requested by,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
consultations,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Consults,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Contact Info,Addendum,N/A,55107-7,NULL,N,NULL,NULL
Contact Lens Fit Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Contact Person ,Addendum,N/A,55107-7,NULL,N,NULL,NULL
Continue Current Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Continue Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Continuing Risk Guide,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Coordination Impairments,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Counseling,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Counseling Time,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Counseling/Education,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Cover Test,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
CPT Code,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
CT Result,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
CT Scan,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Cultural Factors,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Current Condition,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
Current Condition/Chief Complaint,Chief Complaint Section,1.3.6.1.4.1.19376.1.5.3.1.1.13.2.1,10154-3,10164-2,N,NULL,NULL
Current Conditions / Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Current Diagnosis,Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
Current Health Information,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
Current Imaging Procedure Descriptions,Current Imaging Procedure Descriptions,N/A,55111-9,NULL,N,NULL,NULL
current medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Current Medications and Complementary Therapies,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Current medications/Side effects,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,Y,NULL
Current Mental Status Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Current Orders,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Current Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Current Problems / HPI,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,Y,NULL
Current problems with teeth and/or dentures,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Current Reported Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
"Current Risk Assessment (consider violence towards self or others, dangerous substance use, ability to provide adequate self-care)",Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Current Symptoms,History of Present Illness Section,1.3.6.1.4.1.19376.1.5.3.1.3.4,10164-2,NULL,N,NULL,NULL
Current Treatments,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Cutaneous Examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
"Cystic Fibrosis (Jewish, Family History)",Family History Section,2.16.840.1.113883.10.20.22.2.15,10157-6,NULL,N,NULL,NULL
Cystoscopy Procedure Note,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
D Discuss the prevention of long term complications,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
DANGER SIGNS,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Data Reviewed ,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Date and Time of Evaluation,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,NULL
Date of Admission,Admission Date,NULL,52455-3,NULL,N,NULL,NULL
Date of Arrival,Admission Date,NULL,52455-3,NULL,N,NULL,NULL
Date of Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Date of Birth/Years Old,Birth date,NULL,21112-8,NULL,N,NULL,NULL
date of discharge,Hospital Discharge Date,NULL,8649-6,NULL,N,NULL,NULL
Date of Initial Consultation,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Date of last eye exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Date of last foot exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Date of last Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Date of Last Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,encounter?
Date of Last Physical Exam / Physician Appointment,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,encounter?
Date of Onset,Illness or injury onset date and time,NULL,11368-8?,NULL,N,NULL,NULL
Date of Procedure,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Date of Results,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Deferred Physical Exam,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Demographic Information,Demographic information section,NULL,45970-1??,NULL,N,NULL,NULL
Demographics,Demographic information section,NULL,45970-1??,NULL,N,NULL,NULL
Dental Status,Oral or dental status section,NULL,46044-4?,NULL,N,NULL,NULL
Dermatologic examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Dermatologic Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Dermatology Consult,Hospital Consultations,2.16.840.1.113883.10.20.22.2.42,18841-7,NULL,N,NULL,NULL
Dermatology Diagram,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Dermatology Photo,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Describe Goals and Objectives in SYMPTOMATIC ?and BEHAVIORAL terms,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Describe goals and objectives in SYMPTOMATIC and BEHAVIORAL terms,Objective, 2.16.840.1.113883.10.20.21.2.1,61149-1,NULL,N,NULL,NULL
Description of Current Medical Problem,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Description of procedure,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Details of Procedure,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Detergent allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Development,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Developmental and Social History,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Developmental hip problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Developmental History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Diabetes and Pregnancy - Nurse Educator Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Diabetes Complications,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Diabetes Complications and Treatment History,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Diabetes Complications-History of DKA?,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Diabetes Complications-History of hypoglcemia requiring assistance?,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Diabetes Complications-Most recent episode,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Diabetes Complications-Preconception A1c,Complications,2.16.840.1.113883.10.20.22.2.37,55109-3,NULL,N,NULL,NULL
Diabetes Follow Up,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Diabetes History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Diabetes medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Diabetes Nurse Education Assessment Note,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Diabetes Overview,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Diabetes Skills,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Diabetes Teaching Template,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Diabetes Training orders,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Diabetes Treatment History-Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Diabetic Assessment,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
DIABETIC EYE EXAM REPORT,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Diabetic Oral Medications,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Diagnoses,Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
Diagnoses requiring treatment,Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
diagnosis,Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
Diagnosis and Treatment Plans,Diagnosis Section,NULL,29548-5,NULL,N,Y,NULL
diagnosis(es),Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
Diagnosis/CC,Diagnosis Section,NULL,29548-5,NULL,N,Y,NULL
Diagnosis/Impression,Diagnosis Section,NULL,29548-5,NULL,N,NULL,NULL
Diagnosis/Plan/Instructions,Diagnosis Section,NULL,29548-5,NULL,N,Y,NULL
Diagnosis/Reason for Visit,Reason for Visit Section,2.16.840.1.113883.10.20.22.2.12,29299-5,NULL,N,NULL,NULL
Diagnosis/Recommendations,Diagnosis Section,NULL,29548-5,NULL,N,Y,NULL
Diagnostic Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Diagnostic Imaging,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
diagnostic studies,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
DIAGNOSTIC TEST RESULTS REVIEWED,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Diagnostic Testing,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
diagnostic tests,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Dibetic Questionaire cont,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
DICOM Object Catalog Section,DICOM Object Catalog Section,2.16.840.1.113883.10.20.6.1.1,NULL,NULL,N,NULL,NULL
diet,Discharge Diet Section,1.3.6.1.4.1.19376.1.5.3.1.3.33,42344-2,NULL,N,NULL,? Diet is not always discharge diet?
Diet After Discharge,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Diet Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Diet History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Diet Recall,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
Dietary Supplements/OTC meds,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Dietitian Assessment and Education,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Discharge,Hospital Discharge Diagnosis Section,2.16.840.1.113883.10.20.22.2.24,11535-2,NULL,N,NULL,NULL
Discharge Code Status,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,NULL
discharge condition,Hospital Discharge Diagnosis Section,2.16.840.1.113883.10.20.22.2.24,11535-2,NULL,N,NULL,NULL
discharge diagnoses,Hospital Discharge Diagnosis Section,2.16.840.1.113883.10.20.22.2.24,11535-2,NULL,N,NULL,NULL
discharge diagnosis,Hospital Discharge Diagnosis Section,2.16.840.1.113883.10.20.22.2.24,11535-2,NULL,N,NULL,NULL
discharge diet,Discharge Diet Section,1.3.6.1.4.1.19376.1.5.3.1.3.33,42344-2,NULL,N,NULL,NULL
Discharge Diet Section,Discharge Diet Section,1.3.6.1.4.1.19376.1.5.3.1.3.33,42344-2,NULL,N,NULL,NULL
discharge disposition,Hospital Discharge Disposition,NULL,8650-4,NULL,N,NULL,NULL
DISCHARGE EXAM,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
discharge instructions,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
discharge laboratory data,Laboratory Test Section,NULL,34075-2,NULL,N,NULL,NULL
discharge medication,Hospital Discharge Medication Section,2.16.840.1.113883.10.20.22.2.11,10183-2,NULL,N,NULL,? Should be in the dicharge medication section
discharge medications,Hospital Discharge Medication Section,2.16.840.1.113883.10.20.22.2.11,10183-2,NULL,N,NULL,? Should be in the dicharge medication section
discharge meds,Hospital Discharge Medication Section,2.16.840.1.113883.10.20.22.2.11,10183-2,NULL,N,NULL,NULL
Discharge Pain Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
discharge physical examination,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
discharge plan,Discharge plan,NULL,58222-1,NULL,N,NULL,NULL
discharge plans,Discharge plan,NULL,58222-1,NULL,N,NULL,NULL
Discharge Summary,Discharge Summary,NULL,NULL,NULL,N,NULL,NULL
DISCHARGE VITAL SIGNS,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
Disclaimer,Addendum,N/A,55107-7,NULL,N,NULL,NULL
Discussion,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
Discussion of problems(s),Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Discussion of test results with another physician,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Discussion/Questions,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
DISEASE MANAGEMENT,Hospital Discharge Instructions,2.16.840.1.113883.10.20.22.2.41,8653-8,NULL,N,NULL,NULL
Disk problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Disposition,Hospital Discharge Disposition,NULL,8650-4,NULL,N,NULL,NULL
Distance Vision,Physical Exam Section,2.16.840.1.113883.10.20.2.10,29545-1,NULL,N,NULL,NULL
DM Assessment,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
DM Assessment DM Family Hx,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
DM History,Medical (General) History,2.16.840.1.113883.10.20.22.2.39,11329-0,NULL,N,NULL,NULL
DM Lab,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
DM Plan DM ROS,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,NULL
DM Social Hx,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
DNI,Drug-Nutrient Interactions,N/A,N/A,N/A,N,NULL,NULL
DNI:,Drug-Nutrient Interactions,N/A,N/A,N/A,N,NULL,NULL
DNI:,Drug-Nutrient Interactions,N/A,N/A,N/A,N,NULL,from the nutritionists notes
Do you have any allergies or had an allergic reaction?,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Do you have any allergies to medications?,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Do you have any food allergies or intolerances,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
"Do you have any kidney or liver problems? If yes, what kind and for how long?",Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Do you have any problems?,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Do you have problems with your skin?,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Doctor's Orders ,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Document Summary,Document Summary,N/A,55112-7,NULL,N,NULL,NULL
Does the patient have a problem with fatigue or lack of energy,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Does the patient have problems with their skin,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Does the patient take medications for this problem?,Medication Section,2.16.840.1.113883.10.20.22.2.1,10160-0,NULL,N,NULL,NULL
Domestic Violence Dose,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,NULL
Donor Evaluation,Assessment Section,2.16.840.1.113883.10.20.22.2.8,51848-0,NULL,N,NULL,NULL
Drug Allergies,Allergies Section,2.16.840.1.113883.10.20.22.2.6,48765-2,NULL,N,NULL,NULL
Drug Nutrient Interaction,Drug-Nutrient Interactions,N/A,N/A,N/A,N,NULL,NULL
Drug Nutrition Interaction,Drug-Nutrient Interactions,N/A,N/A,N/A,N,NULL,NULL
Drug-Nutrient Interaction,Drug-Nutrient Interactions,N/A,N/A,N/A,N,NULL,NULL
Drug-Nutrition Interaction,Drug-Nutrient Interactions,N/A,N/A,N/A,N,NULL,NULL
Durable Medical Equipment,Medical Equipment,2.16.840.1.113883.10.20.22.2.23,46264-8,NULL,N,NULL,NULL
Duration/Complexity of visit,Encounters,2.16.840.1.113883.10.20.22.2.22,46240-8,NULL,N,NULL,NULL
DX/Reason for referral,Reason for Referral Section,1.3.6.1.4.1.19376.1.5.3.1.3.1,42349-1,NULL,N,NULL,NULL
E&M Level,Assessment and Plan,2.16.840.1.113883.10.20.22.2.9,51847-2,NULL,N,NULL,?
Ear Problems,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Ear Treatment,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
EASI SCREEN,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
ECG,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Echocardiogram,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
ED Review of Systems,Review of Systems Section,1.3.6.1.4.1.19376.1.5.3.1.3.18,10187-3,NULL,N,NULL,NULL
Education,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Education Instructions given,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Education/Activities,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
Educational History,Interventions,2.16.840.1.113883.10.20.21.2.3,62387-6,NULL,N,NULL,NULL
EEG,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Electronically Signed by,Attending physician name?,NULL,52526-1,NULL,N,NULL,NULL
Elliptical Excision,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
Emergency Department Visit for Respiratory Problem,Problem Section,2.16.840.1.113883.10.20.22.2.5,11450-5,NULL,N,NULL,NULL
Emergency Procedures,Procedures Section,2.16.840.1.113883.10.20.22.2.7,47519-4,NULL,N,NULL,NULL
EMG/NCS,Results Section,2.16.840.1.113883.10.20.22.2.3,30954-2,NULL,N,NULL,NULL
Emotional Support,Social History,2.16.840.1.113883.10.20.22.2.17,29762-2,NULL,N,NULL,?
