nlp_Problem_Term,PPL_Id,Snomed_Concept_Id,Snomed_Preferred_Term,UMLS_CUI,Snomed_Description_Id,Snomed_Description,Snomed_Description_Type,ICD9_Code,ICD9_Description,ICD10_Code,ICD10_Description,STY,Excluded,ProblemCategory,Source
Acute exacerbation of chronic schizophrenia,NULL,191531007,Acute exacerbation of chronic schizophrenia,C0270383,294731011,Acute exacerbation of chronic schizophrenia,1,295.04,"Simple type schizophrenia, chronic with acute exacerbation",F20.6,Residual schizophrenia,Mental or Behavioral Dysfunction,N,NULL,PEPrL
Acute exacerbation of obstructive airways,NULL,195951007,Acute exacerbation of chronic obstructive airways disease,C0340044,301453013,Acute exacerbation of chronic obstructive airways disease,1,491.21,Obs chr bronc w(ac) exac,J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation,Disease or Syndrome,N,Chronic Obstructive Pulmonary Disease,MTERMS
Acute exacerbation of obstructive airways disease,NULL,195951007,Acute exacerbation of chronic obstructive airways disease,C0340044,301453013,Acute exacerbation of chronic obstructive airways disease,1,491.21,Obs chr bronc w(ac) exac,J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation,Disease or Syndrome,N,Chronic Obstructive Pulmonary Disease,MTERMS
Acute exacerbation of schizoaffective schizophrenia,NULL,191572009,Acute exacerbation of chronic schizoaffective schizophrenia,C0338827,294778012,Acute exacerbation of chronic schizoaffective schizophrenia,1,295.74,"Schizoaffective disorder, chronic with acute exacerbation",F25.8,Other schizoaffective disorders,Mental or Behavioral Dysfunction,N,NULL,MTERMS
Acute exudative otitis media,1251,19399000,Acute exudative otitis media,C2945568,32687011,Acute exudative otitis media,1,382,Ac supp otitis media NOS,H66.009,"Acute suppurative otitis media without spontaneous rupture of ear drum, unspecified ear",Disease or Syndrome,N,NULL,Subset
Acute febrile mucocutaneous lymph node,1046,75053002,Acute febrile mucocutaneous lymph node syndrome,C0026691,124650010,Acute febrile mucocutaneous lymph node syndrome,1,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS],M30.3,Mucocutaneous lymph node syndrome [Kawasaki],Disease or Syndrome,N,NULL,MTERMS
Acute febrile mucocutaneous lymph node condition,1046,75053002,Acute febrile mucocutaneous lymph node syndrome,C0026691,124650010,Acute febrile mucocutaneous lymph node syndrome,1,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS],M30.3,Mucocutaneous lymph node syndrome [Kawasaki],Disease or Syndrome,N,NULL,MTERMS
Acute febrile mucocutaneous lymph node disease,1046,75053002,Acute febrile mucocutaneous lymph node syndrome,C0026691,124650010,Acute febrile mucocutaneous lymph node syndrome,1,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS],M30.3,Mucocutaneous lymph node syndrome [Kawasaki],Disease or Syndrome,N,NULL,MTERMS
Acute febrile mucocutaneous lymph node disorder,1046,75053002,Acute febrile mucocutaneous lymph node syndrome,C0026691,124650010,Acute febrile mucocutaneous lymph node syndrome,1,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS],M30.3,Mucocutaneous lymph node syndrome [Kawasaki],Disease or Syndrome,N,NULL,MTERMS
Acute febrile mucocutaneous lymph node syndrome,1046,75053002,Acute febrile mucocutaneous lymph node syndrome,C0026691,124650010,Acute febrile mucocutaneous lymph node syndrome,1,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS],M30.3,Mucocutaneous lymph node syndrome [Kawasaki],Disease or Syndrome,N,NULL,PEPrL and Subset
Acute febrile neutrophilic dermatosis,NULL,84625002,Acute febrile neutrophilic dermatosis,C0085077,140305017,Acute febrile neutrophilic dermatosis,1,702.8,Other specf dermatoses,L30.8,Other specified dermatitis,Disease or Syndrome,N,NULL,PEPrL
Acute follicular conjunctivitis,NULL,41308008,Acute follicular conjunctivitis,C0155143,68902015,Acute follicular conjunctivitis,1,372.02,Acute follicular conjunctivitis,H10.2,"Acute atopic conjunctivitis, bilateral",Disease or Syndrome,N,NULL,Subset
Acute frontal sinusitis,NULL,91038008,Acute frontal sinusitis,C0155805,150861013,Acute frontal sinusitis,1,461.1,Acute frontal sinusitis,J01.1,Acute recurrent maxillary sinusitis,Disease or Syndrome,N,NULL,Subset
Acute gastric mucosal erosion,NULL,18665000,Acute gastric mucosal erosion,C0267112,31467018,Acute gastric mucosal erosion,1,909.5,Lte efct advrs efct drug,T50.905?,"Underdosing of diagnostic agents, sequela",Disease or Syndrome,N,NULL,Subset
Acute gastric ulcer,NULL,95529005,Acute gastric ulcer,C0341165,158227015,Acute gastric ulcer,1,531.3,Acute stomach ulcer NOS,K25.3,Acute gastric ulcer without hemorrhage or perforation,Disease or Syndrome,N,NULL,Subset
Acute gastric ulcer with bleeding,NULL,89748001,Acute gastric ulcer with hemorrhage,C0155967,148790018,Acute gastric ulcer with bleeding,2,531.2,Ac stomac ulc w hem/perf,K25.2,Acute gastric ulcer with both hemorrhage and perforation,Disease or Syndrome,N,NULL,MTERMS
Acute gastric ulcer with haemorrhage,NULL,89748001,Acute gastric ulcer with hemorrhage,C0155967,508664015,Acute gastric ulcer with haemorrhage,1,531.2,Ac stomac ulc w hem/perf,K25.2,Acute gastric ulcer with both hemorrhage and perforation,Disease or Syndrome,N,NULL,MTERMS
Acute gastric ulcer with hemorrhage,NULL,89748001,Acute gastric ulcer with hemorrhage,C0155967,148789010,Acute gastric ulcer with hemorrhage,1,531.2,Ac stomac ulc w hem/perf,K25.2,Acute gastric ulcer with both hemorrhage and perforation,Disease or Syndrome,N,NULL,PEPrL and Subset
Acute gastric ulcer with perforation,NULL,19850005,Acute gastric ulcer with perforation,C0155970,33419017,Acute gastric ulcer with perforation,1,531.2,Ac stomac ulc w hem/perf,K25.2,Acute gastric ulcer with both hemorrhage and perforation,Disease or Syndrome,N,NULL,PEPrL and Subset
Acute gastritis,NULL,25458004,Acute gastritis,C0149518,42686017,Acute gastritis,1,535,"Acute gastritis, without mention of hemorrhage",K29.00,Acute gastritis without bleeding,Disease or Syndrome,N,NULL,PEPrL and Subset
Acute gastroenteritis,NULL,69776003,Acute gastroenteritis,C0267446,115902018,Acute gastroenteritis,1,558.9,Noninf gastroenterit NEC,K52.8,Allergic and dietetic gastroenteritis and colitis,Disease or Syndrome,N,NULL,PEPrL
Acute gingival inflammation,NULL,31642005,Acute gingivitis,C0155937,484931018,Acute gingival inflammation,2,523,"Acute gingivitis, plaque induced",K05.00,"Acute gingivitis, plaque induced",Disease or Syndrome,N,NULL,MTERMS
Acute gingivitis,NULL,31642005,Acute gingivitis,C0155937,52875011,Acute gingivitis,1,523,"Acute gingivitis, plaque induced",K05.00,"Acute gingivitis, plaque induced",Disease or Syndrome,N,NULL,Subset
Acute glomerulonephritis,NULL,19351000,Acute glomerulonephritis,C0156221,32619017,Acute glomerulonephritis,1,580.9,Acute nephritis NOS,N00.9,Acute nephritic syndrome with unspecified morphologic changes,Disease or Syndrome,N,NULL,PEPrL
Acute gonococcal salpingitis,NULL,45377007,Acute gonococcal salpingitis,C0275654,75651017,Acute gonococcal salpingitis,1,98.17,Acute gc salpingitis,A54.24,Gonococcal female pelvic inflammatory disease,Disease or Syndrome,N,NULL,PEPrL
Acute gouty arthritis,NULL,24595009,Primary gout,C0149896,481957016,Acute gouty arthritis,2,274.01,Acute gouty arthropathy,M10.00,"Idiopathic gout, unspecified site",Disease or Syndrome,N,NULL,MTERMS
Acute gouty arthropathy,NULL,24595009,Primary gout,C0149896,481959018,Acute gouty arthropathy,2,274.01,Acute gouty arthropathy,M10.00,"Idiopathic gout, unspecified site",Disease or Syndrome,N,NULL,MTERMS
Acute graft-versus-host disease,NULL,402355000,Acute graft-versus-host disease,C0856825,1781512018,Acute graft-versus-host disease,1,279.51,Acute graft-versus-host disease,D89.810,Acute graft-versus-host disease,Disease or Syndrome,N,NULL,PEPrL
Acute hemorrhagic gastritis,NULL,2367005,Acute hemorrhagic gastritis,C2243087,5056011,Acute hemorrhagic gastritis,1,535.01,"Acute gastritis, with hemorrhage",K29.01,Acute gastritis with bleeding,Disease or Syndrome,N,NULL,PEPrL
Acute hepatic failure,NULL,197270009,Acute hepatic failure,C0162557,303381014,Acute hepatic failure,1,570,Erythema infectiosum,T50.905?,"Underdosing of diagnostic agents, sequela",Disease or Syndrome,N,NULL,PEPrL and Subset
Acute hepatitis,NULL,37871000,Acute hepatitis,C0267797,63183013,Acute hepatitis,1,70.9,Viral hepat NOS w/o coma,B17.9,"Acute viral hepatitis, unspecified",Disease or Syndrome,N,NULL,PEPrL and Subset
Acute hepatitis B,NULL,76795007,Acute type B viral hepatitis,C0276609,1234030013,Acute hepatitis B,2,70.3,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta",B16.9,Acute hepatitis B w/o delta-agent and without hepatic coma,Disease or Syndrome,N,NULL,MTERMS
Acute hepatitis C,NULL,235866006,Acute hepatitis C,C0400914,353576014,Acute hepatitis C,1,70.51,Acute hepatitis C without mention of hepatic coma,B17.10,Acute hepatitis C without hepatic coma,Disease or Syndrome,N,NULL,PEPrL and Subset
Acute idiopathic polyneuritis,970,40956001,Guillain-Barré syndrome,C0018378,199915013,Acute idiopathic polyneuritis,2,357,Ac infect polyneuritis,G61.0,Guillain-Barre syndrome,Disease or Syndrome,N,NULL,MTERMS
Acute idiopathic polyradiculoneuritis,970,40956001,Guillain-Barré syndrome,C0018378,199914012,Acute idiopathic polyradiculoneuritis,2,357,Ac infect polyneuritis,G61.0,Guillain-Barre syndrome,Disease or Syndrome,N,NULL,MTERMS
Acute ill-defined cerebrovascular,NULL,288723005,Acute ill-defined cerebrovascular disease,C0001365,428435018,Acute ill-defined cerebrovascular disease,1,436,Cva,I67.89,Other cerebrovascular disease,Disease or Syndrome,N,NULL,MTERMS
Acute ill-defined cerebrovascular disease,NULL,288723005,Acute ill-defined cerebrovascular disease,C0001365,428435018,Acute ill-defined cerebrovascular disease,1,436,Cva,I67.89,Other cerebrovascular disease,Disease or Syndrome,N,NULL,PEPrL and Subset
Acute infection of nasal sinus,1388,15805002,Acute sinusitis,C0149512,26787010,"Acute infection of nasal sinus, NOS",2,461.9,"Acute sinusitis, unspecified",J01.90,"Acute sinusitis, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute infection of sinus,1388,15805002,Acute sinusitis,C0149512,1221237010,Acute infection of sinus,2,461.9,"Acute sinusitis, unspecified",J01.90,"Acute sinusitis, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute infective exacerbation of chronic obstructive airways,NULL,285381006,Acute infective exacerbation of chronic obstructive airways disease,C0563269,424365019,Acute infective exacerbation of chronic obstructive airways disease,1,136.9,Infectious disease NOS,J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,Disease or Syndrome,N,Chronic Obstructive Pulmonary Disease,MTERMS
Acute infective exacerbation of chronic obstructive airways disease,NULL,285381006,Acute infective exacerbation of chronic obstructive airways disease,C0563269,424365019,Acute infective exacerbation of chronic obstructive airways disease,1,136.9,Infectious disease NOS,J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,Disease or Syndrome,N,Chronic Obstructive Pulmonary Disease,Subset
Acute infective exacerbation of obstructive airways,NULL,285381006,Acute infective exacerbation of chronic obstructive airways disease,C0563269,424365019,Acute infective exacerbation of chronic obstructive airways disease,1,136.9,Infectious disease NOS,J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,Disease or Syndrome,N,Chronic Obstructive Pulmonary Disease,MTERMS
Acute infective exacerbation of obstructive airways disease,NULL,285381006,Acute infective exacerbation of chronic obstructive airways disease,C0563269,424365019,Acute infective exacerbation of chronic obstructive airways disease,1,136.9,Infectious disease NOS,J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,Disease or Syndrome,N,Chronic Obstructive Pulmonary Disease,MTERMS
Acute infective polyneuritis,970,40956001,Guillain-Barré syndrome,C0018378,68319014,Acute infective polyneuritis,2,357,Ac infect polyneuritis,G61.0,Guillain-Barre syndrome,Disease or Syndrome,N,NULL,MTERMS
Acute infective rhinitis,NULL,82272006,Common cold,C0009443,504995016,Acute infective rhinitis,2,460,Nasopharyngitis NOS,J00,Acute nasopharyngitis [common cold],Disease or Syndrome,N,NULL,MTERMS
Acute inferior myocardial infarction,NULL,73795002,Acute myocardial infarction of inferior wall,C0264700,1233665015,Acute inferior myocardial infarction,2,410.4,"Acute myocardial infarction of other inferior wall, episode of care unspecified",B95.2,Enterococcus as the cause of diseases classified elsewhere,Disease or Syndrome,N,Myocardial Infarction,MTERMS
Acute inflammation of nasal sinus,1388,15805002,Acute sinusitis,C0149512,26790016,Acute inflammation of nasal sinus,2,461.9,"Acute sinusitis, unspecified",J01.90,"Acute sinusitis, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute inflammation of orbit,NULL,20551005,Acute inflammation of orbit,C0155256,34588011,Acute inflammation of orbit,1,376,"Acute inflammation of orbit, unspecified",H05.00,Unspecified acute inflammation of orbit,Finding,N,NULL,PEPrL
Acute inflammation of sinus,1388,15805002,Acute sinusitis,C0149512,1221236018,Acute inflammation of sinus,2,461.9,"Acute sinusitis, unspecified",J01.90,"Acute sinusitis, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute inflammatory demyelinating polyradiculoneuropathy,970,40956001,Guillain-Barré syndrome,C0018378,199913018,Acute inflammatory demyelinating polyradiculoneuropathy,2,357,Ac infect polyneuritis,G61.0,Guillain-Barre syndrome,Disease or Syndrome,N,NULL,MTERMS
Acute inflammatory neuropathy,970,40956001,Guillain-Barré syndrome,C0018378,492851017,Acute inflammatory neuropathy,2,357,Ac infect polyneuritis,G61.0,Guillain-Barre syndrome,Disease or Syndrome,N,NULL,MTERMS
Acute injury of anterior cruciate ligament,NULL,438582003,Acute injury of anterior cruciate ligament,C2584975,2793046019,Acute injury of anterior cruciate ligament,1,844.2,Sprain cruciate lig knee,S83.519A,"Sprain of anterior cruciate ligament of unspecified knee, episode of care unspecified",Injury or Poisoning,N,NULL,Subset
Acute intoxication,NULL,231466009,Acute drug intoxication,C0456824,1784898013,Acute intoxication,2,292.2,Pathologic drug intox,F19.929,"Other psychoactive substance use, unspecified with intoxication, unspecified",Injury or Poisoning,N,Drug Use,MTERMS
Acute iridocyclitis,NULL,4927003,Acute anterior uveitis,C0701807,9228019,Acute iridocyclitis,2,364,"Anterior uveitis, acute",H20.00,Unspecified acute and subacute iridocyclitis,Disease or Syndrome,N,NULL,MTERMS
Acute ischaemic heart,NULL,413439005,Acute ischemic heart disease,C1510446,2534668015,Acute ischaemic heart disease,1,411.89,Ac ischemic hrt dis NEC,I24.9,"Acute ischemic heart disease, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute ischaemic heart disease,NULL,413439005,Acute ischemic heart disease,C1510446,2534668015,Acute ischaemic heart disease,1,411.89,Ac ischemic hrt dis NEC,I24.9,"Acute ischemic heart disease, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute ischemic heart,NULL,413439005,Acute ischemic heart disease,C1510446,2534667013,Acute ischemic heart disease,1,411.89,Ac ischemic hrt dis NEC,I24.9,"Acute ischemic heart disease, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute ischemic heart disease,NULL,413439005,Acute ischemic heart disease,C1510446,2534667013,Acute ischemic heart disease,1,411.89,Ac ischemic hrt dis NEC,I24.9,"Acute ischemic heart disease, unspecified",Disease or Syndrome,N,NULL,PEPrL and Subset
Acute juvenile rheumatoid arthritis,924,75822003,Acute polyarticular juvenile rheumatoid arthritis,C0157916,125938014,Acute juvenile rheumatoid arthritis,2,714.31,"Polyarticular juvenile rheumatoid arthritis, acute",M08.3,Juvenile rheumatoid polyarthritis (seronegative),Disease or Syndrome,N,NULL,MTERMS
Acute kidney failure,490,14669001,Acute renal failure syndrome,C0022660,2920634011,Acute renal failure,2,584.9,Acute kidney failure NOS,N17.9,"Acute kidney failure, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute kidney failure condition,490,14669001,Acute renal failure syndrome,C0022660,24910011,Acute renal failure syndrome,1,584.9,Acute kidney failure NOS,N17.9,"Acute kidney failure, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute kidney failure disease,490,14669001,Acute renal failure syndrome,C0022660,24910011,Acute renal failure syndrome,1,584.9,Acute kidney failure NOS,N17.9,"Acute kidney failure, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute kidney failure disorder,490,14669001,Acute renal failure syndrome,C0022660,24910011,Acute renal failure syndrome,1,584.9,Acute kidney failure NOS,N17.9,"Acute kidney failure, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute kidney failure syndrome,490,14669001,Acute renal failure syndrome,C0022660,24910011,Acute renal failure syndrome,1,584.9,Acute kidney failure NOS,N17.9,"Acute kidney failure, unspecified",Disease or Syndrome,N,NULL,MTERMS
Acute lacunar infarction,NULL,426107000,Acute lacunar infarction,C1960017,2674093010,Acute lacunar infarction,1,434.91,"Cerebral artery occlusion, unspecified with cerebral infarction",I63.8,Other cerebral infarction,Disease or Syndrome,N,Stroke,PEPrL
Acute laryngitis,NULL,6655004,Acute laryngitis,C0001327,12028011,Acute laryngitis,1,464,Acute laryngitis without mention of obstruction,J04.0,Acute laryngitis,Disease or Syndrome,N,NULL,Subset
Acute laryngopharyngitis,NULL,55355000,Acute laryngopharyngitis,C0155817,92029013,Acute laryngopharyngitis,1,465,Acute laryngopharyngitis,J06.0,Acute laryngopharyngitis,Disease or Syndrome,N,NULL,PEPrL
Acute lateral myocardial infarction,NULL,58612006,Acute myocardial infarction of lateral wall,C0340311,1231860015,Acute lateral myocardial infarction,2,410.5,"Acute myocardial infarction of other lateral wall, episode of care unspecified",I21.29,STEMI involving oth sites,Disease or Syndrome,N,Myocardial Infarction,MTERMS
Acute leukaemia,NULL,91855006,Acute leukemia,C0085669,201610019,Acute leukaemia,1,208,"Acute leukemia of unspecified cell type, without mention of having achieved remission",C95.00,Acute leukemia of unspecified cell type not having achieved remission,Neoplastic Process,N,NULL,MTERMS
"Acute leukaemia,",NULL,91855006,Acute leukemia,C0085669,2770452019,"Acute leukaemia, disease",2,208,"Acute leukemia of unspecified cell type, without mention of having achieved remission",C95.00,Acute leukemia of unspecified cell type not having achieved remission,Neoplastic Process,N,NULL,MTERMS
"Acute leukaemia, disease",NULL,91855006,Acute leukemia,C0085669,2770452019,"Acute leukaemia, disease",2,208,"Acute leukemia of unspecified cell type, without mention of having achieved remission",C95.00,Acute leukemia of unspecified cell type not having achieved remission,Neoplastic Process,N,NULL,MTERMS
Acute leukemia,NULL,91855006,Acute leukemia,C0085669,152149013,Acute leukemia,1,208,"Acute leukemia of unspecified cell type, without mention of having achieved remission",C95.00,Acute leukemia of unspecified cell type not having achieved remission,Neoplastic Process,N,NULL,PEPrL
"Acute leukemia,",NULL,91855006,Acute leukemia,C0085669,2770453012,"Acute leukemia, disease",2,208,"Acute leukemia of unspecified cell type, without mention of having achieved remission",C95.00,Acute leukemia of unspecified cell type not having achieved remission,Neoplastic Process,N,NULL,MTERMS
"Acute leukemia, disease",NULL,91855006,Acute leukemia,C0085669,2770453012,"Acute leukemia, disease",2,208,"Acute leukemia of unspecified cell type, without mention of having achieved remission",C95.00,Acute leukemia of unspecified cell type not having achieved remission,Neoplastic Process,N,NULL,Subset
"Acute leukemia, without mention of remission",NULL,91855006,Acute leukemia,C0085669,152151012,"Acute leukemia, NOS, without mention of remission",2,208,"Acute leukemia of unspecified cell type, without mention of having achieved remission",C95.00,Acute leukemia of unspecified cell type not having achieved remission,Neoplastic Process,N,NULL,MTERMS
Acute lichenoid pityriasis,NULL,86487001,Acute lichenoid pityriasis,C0162852,143431017,Acute lichenoid pityriasis,1,696.5,Other and unspecified pityriasis,L41.0,Pityriasis lichenoides et varioliformis acuta,Disease or Syndrome,N,NULL,PEPrL
Acute liver failure,NULL,197270009,Acute hepatic failure,C0162557,303379012,Acute liver failure,2,570,Erythema infectiosum,T50.905?,"Underdosing of diagnostic agents, sequela",Disease or Syndrome,N,NULL,MTERMS
Acute low back pain,NULL,278862001,Acute low back pain,C0457950,415892010,Acute low back pain,1,724.2,Lumbago,M54.5,Low back pain,Sign or Symptom,N,NULL,PEPrL and Subset
Acute lower urinary tract infection,NULL,431737008,Acute lower urinary tract infection,C2316134,2771348011,Acute lower urinary tract infection,1,599,Chronic urinary tract infection,N39.0,"Urinary tract infection, site not specified",Disease or Syndrome,N,NULL,Subset
Acute lung injury,NULL,315345002,Acute lung injury,C0242488,459855016,Acute lung injury,1,861.2,Lung injury NOS-closed,S27.309?,"Unspecified injury of lung, unspecified, episode of care unspecified",Injury or Poisoning,N,NULL,PEPrL
acute lymphoblastic leukemia,517,91857003,Acute lymphoid leukemia,C0023449,NULL,NULL,NULL,204,"Acute lymphoid leukemia, without mention of having achieved remission",C91.00,Acute lymphoblastic leukemia not having achieved remission,Neoplastic Process,N,NULL,MTERMS
Acute lymphoid leukaemia,517,91857003,Acute lymphoid leukemia,C0023449,509741017,Acute lymphoid leukaemia,1,204,"Acute lymphoid leukemia, without mention of having achieved remission",C91.00,Acute lymphoblastic leukemia not having achieved remission,Neoplastic Process,N,NULL,MTERMS
Acute lymphoid leukaemia in remission,NULL,91856007,Acute lymphoid leukemia in remission,C0153876,509740016,Acute lymphoid leukaemia in remission,1,204.01,"Acute lymphoid leukemia, in remission",C91.01,"Acute lymphoblastic leukemia, in remission",Neoplastic Process,N,NULL,MTERMS
"Acute lymphoid leukaemia,",517,91857003,Acute lymphoid leukemia,C0023449,2770360019,"Acute lymphoid leukaemia, disease",2,204,"Acute lymphoid leukemia, without mention of having achieved remission",C91.00,Acute lymphoblastic leukemia not having achieved remission,Neoplastic Process,N,NULL,MTERMS
"Acute lymphoid leukaemia, disease",517,91857003,Acute lymphoid leukemia,C0023449,2770360019,"Acute lymphoid leukaemia, disease",2,204,"Acute lymphoid leukemia, without mention of having achieved remission",C91.00,Acute lymphoblastic leukemia not having achieved remission,Neoplastic Process,N,NULL,MTERMS
Acute lymphoid leukemia,517,91857003,Acute lymphoid leukemia,C0023449,152153010,Acute lymphoid leukemia,1,204,"Acute lymphoid leukemia, without mention of having achieved remission",C91.00,Acute lymphoblastic leukemia not having achieved remission,Neoplastic Process,N,NULL,PEPrL
Acute lymphoid leukemia in remission,NULL,91856007,Acute lymphoid leukemia in remission,C0153876,152152017,Acute lymphoid leukemia in remission,1,204.01,"Acute lymphoid leukemia, in remission",C91.01,"Acute lymphoblastic leukemia, in remission",Neoplastic Process,N,NULL,PEPrL and Subset
Acute lymphoid leukemia without mention of remission,517,91857003,Acute lymphoid leukemia,C0023449,152154016,Acute lymphoid leukemia without mention of remission,2,204,"Acute lymphoid leukemia, without mention of having achieved remission",C91.00,Acute lymphoblastic leukemia not having achieved remission,Neoplastic Process,N,NULL,MTERMS
"Acute lymphoid leukemia,",517,91857003,Acute lymphoid leukemia,C0023449,2771744010,"Acute lymphoid leukemia, disease",2,204,"Acute lymphoid leukemia, without mention of having achieved remission",C91.00,Acute lymphoblastic leukemia not having achieved remission,Neoplastic Process,N,NULL,MTERMS
"Acute lymphoid leukemia, disease",517,91857003,Acute lymphoid leukemia,C0023449,2771744010,"Acute lymphoid leukemia, disease",2,204,"Acute lymphoid leukemia, without mention of having achieved remission",C91.00,Acute lymphoblastic leukemia not having achieved remission,Neoplastic Process,N,NULL,Subset
Acute maxillary sinusitis,1233,68272006,Acute maxillary sinusitis,C0155804,113403018,Acute maxillary sinusitis,1,461,Acute maxillary sinusitis,J01.00,"Acute maxillary sinusitis, unspecified",Disease or Syndrome,N,NULL,PEPrL and Subset
Acute MEE - Acute middle ear effusion,NULL,35183001,Acute transudative otitis media,C0271432,486085017,Acute MEE - Acute middle ear effusion,2,381,Ac nonsup otitis med NOS,H65.90,"Unspecified nonsuppurative otitis media, unspecified ear",Disease or Syndrome,N,NULL,MTERMS
Acute megakaryoblastic leukemia,NULL,277602003,Acute megakaryoblastic leukemia,C0023462,414222017,Acute megakaryoblastic leukemia,1,207.21,Mgkrycyt leuk w rmsion,C94.21,"Acute megakaryoblastic leukemia, in remission",Neoplastic Process,N,NULL,PEPrL
"Acute meniscal tear, lateral",NULL,208921000,"Acute meniscal tear, lateral",C0434993,319565015,"Acute meniscal tear, lateral",1,836.1,Tear lat menisc knee-cur,S83.259?,"Bucket-handle tear of lateral meniscus, current injury, left knee, sequela",Injury or Poisoning,N,NULL,Subset
"Acute meniscal tear, medial",NULL,269113006,"Acute meniscal tear, medial",C0434984,402890017,"Acute meniscal tear, medial",1,836,Tear med menisc knee-cur,S83.219?,"Bucket-handle tear of medial meniscus, current injury, left knee, sequela",Injury or Poisoning,N,NULL,Subset
Acute middle ear effusion,NULL,35183001,Acute transudative otitis media,C0271432,486084018,Acute middle ear effusion,2,381,Ac nonsup otitis med NOS,H65.90,"Unspecified nonsuppurative otitis media, unspecified ear",Disease or Syndrome,N,NULL,MTERMS
acute myeloblastic leukemia,569,91861009,"Acute myeloid leukemia, disease",C0023467,NULL,NULL,NULL,205,"Acute myeloid leukemia, without mention of having achieved remission",C92.00,"Acute myeloblastic leukemia, not having achieved remission",Neoplastic Process,N,NULL,MTERMS
Acute myelocytic leukaemia,569,91861009,"Acute myeloid leukemia, disease",C0023467,2838441019,Acute myelocytic leukaemia,2,205,"Acute myeloid leukemia, without mention of having achieved remission",C92.00,"Acute myeloblastic leukemia, not having achieved remission",Neoplastic Process,N,NULL,MTERMS
Acute myelocytic leukemia,569,91861009,"Acute myeloid leukemia, disease",C0023467,2838442014,Acute myelocytic leukemia,2,205,"Acute myeloid leukemia, without mention of having achieved remission",C92.00,"Acute myeloblastic leukemia, not having achieved remission",Neoplastic Process,N,NULL,MTERMS
Acute myeloid leukaemia,569,91861009,"Acute myeloid leukemia, disease",C0023467,201612010,Acute myeloid leukaemia,2,205,"Acute myeloid leukemia, without mention of having achieved remission",C92.00,"Acute myeloblastic leukemia, not having achieved remission",Neoplastic Process,N,NULL,MTERMS
Acute myeloid leukaemia in remission,NULL,91860005,Acute myeloid leukemia in remission,C0153886,509747018,Acute myeloid leukaemia in remission,1,205.01,Act myl leuk w rmsion,C92.01,"Acute myeloblastic leukemia, in remission",Neoplastic Process,N,NULL,MTERMS
"Acute myeloid leukaemia with maturation, FAB M2",NULL,359648001,"Acute myeloid leukemia with maturation, FAB M2",C1879321,474245014,"Acute myeloid leukaemia with maturation, FAB M2",1,205.81,Oth myl leuk w rmsion,C92.Z1,"Myeloid leukemia, unspecified in relapse",Neoplastic Process,N,NULL,MTERMS
"Acute myeloid leukaemia,",569,91861009,"Acute myeloid leukemia, disease",C0023467,1207830016,"Acute myeloid leukaemia, disease",1,205,"Acute myeloid leukemia, without mention of having achieved remission",C92.00,"Acute myeloblastic leukemia, not having achieved remission",Neoplastic Process,N,NULL,MTERMS
"Acute myeloid leukaemia, disease",569,91861009,"Acute myeloid leukemia, disease",C0023467,1207830016,"Acute myeloid leukaemia, disease",1,205,"Acute myeloid leukemia, without mention of having achieved remission",C92.00,"Acute myeloblastic leukemia, not having achieved remission",Neoplastic Process,N,NULL,MTERMS
Acute myeloid leukemia,569,91861009,"Acute myeloid leukemia, disease",C0023467,152159014,Acute myeloid leukemia,2,205,"Acute myeloid leukemia, without mention of having achieved remission",C92.00,"Acute myeloblastic leukemia, not having achieved remission",Neoplastic Process,N,NULL,MTERMS
Acute myeloid leukemia in remission,NULL,91860005,Acute myeloid leukemia in remission,C0153886,152158018,Acute myeloid leukemia in remission,1,205.01,Act myl leuk w rmsion,C92.01,"Acute myeloblastic leukemia, in remission",Neoplastic Process,N,NULL,PEPrL and Subset
