Abbr,AbbrText,Comment,Synonyms,nlp_Problem_Id,nlp_Problem_Term,nlp_TermLength,PPL_Id,Snomed_Concept_Id,UMLS_CUI,Snomed_Description_Id,Snomed_Description_Type,ICD9_Code,ICD9_Description,ICD10_Code,ICD10_Description,TTY,STY,Excluded,ProblemCategory,ProblemSubCategory
IBD,inflammatory bowel disease,NULL,NULL,703,inflammatory bowel disease,26,562,24526004,C0021390,41138010,2,558.9,Other and unspecified noninfectious gastroenteritis and colitis,,,NULL,NULL,N,,NULL
IBS,irritable bowel syndrome,NULL,NULL,741,irritable bowel syndrome,24,209,10743008,C0022104,18666015,1,564.1,Irritable bowel syndrome,,,NULL,NULL,N,,NULL
IDA,iron deficiency anemia,NULL,NULL,738,iron deficiency anemia,22,208,87522002,C0162316,145105012,2,280.9,Iron deficiency anemia; unspecified,D50.9,Iron deficiency anemia; unspecified,NULL,NULL,N,,NULL
IGT,impaired glucose tolerance,NULL,NULL,16830,Impaired glucose tolerance,26,579,9414007,C0271650,16498014,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
IHSS,idiopathic hypertrophic subaortic stenosis,NULL,NULL,17655,Idiopathic hypertrophic subaortic stenosis,42,620,360465008,NULL,476289012,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
ILD,interstitial lung disease,NULL,NULL,726,interstitial lung disease,25,1006,233703007,C0206062,350185018,1,515,Postinflammatory pulmonary fibrosis,,,NULL,NULL,N,,NULL
Inc,Cervical incompetence,NULL,NULL,244,cervical incompetence,21,587,17382005,C0007871,29390018,1,654.5,Cervical incompetence; unspecified as to episode of care or not applicable,,,NULL,NULL,N,,NULL
Infx,infection,NULL,NULL,10538,Infection,9,NULL,40733004,C0009450,67942010,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
IUGR,intrauterine growth retardation,NULL,NULL,4985,Intrauterine growth retardation,31,773,22033007,C0015934,36961011,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
IVF,in vitro fertilization,NULL,NULL,696,in vitro fertilization,22,531,52637005,NULL,87600016,1,,,,,NULL,NULL,Y,,NULL
IVP,intravenous pyelogram,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
IVPB,intravenous piggyback,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
IVSS,intravenous soluset,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
IVUS,intravascular ultrasound,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
IVV,intravascular volume,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
JRA,Stills disease,NULL,NULL,1323,Stills disease,14,404,201796004,NULL,NULL,NULL,714.3,Polyarticular juvenile rheumatoid arthritis; chronic or unspecified,,,NULL,NULL,N,,NULL
LAD,lymphadenopathy,NULL,NULL,836,lymphadenopathy,15,241,30746006,C0497156,51454014,2,785.6,Enlargement of lymph nodes,,,NULL,NULL,N,,NULL
LAH,left atrial hypertrophy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
Lami,laminectomy,NULL,NULL,773,laminectomy,11,218,387731002,C0022983,1481809019,1,,,,,NULL,NULL,N,,NULL
LBBB,left bundle branch block,NULL,NULL,13913,Left bundle branch block,24,NULL,63467002,C0023211,105499018,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
LBP,low back pain,NULL,NULL,809,low back pain,13,226,279039007,C0024031,416139010,1,724.2,Lumbago,M54.5,Low back pain,NULL,NULL,N,,NULL
LBW,low birth weight,NULL,NULL,7296,Low birth weight,16,NULL,276610007,C0024032,412833012,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
LCAT,leclthin:cholesterol acyl transferase,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
LEEP,loop electrosurgical excision procedure,NULL,NULL,17680,Loop electrosurgical excision procedure,39,858,36899001,NULL,61554010,2,NULL,NULL,NULL,NULL,NULL,NULL,Y,,NULL
LGA,large for gestational age,NULL,NULL,776,large for gestational age,25,841,199616008,NULL,NULL,NULL,766.1,Other 'heavy-for-dates' infants,P08.1,Other heavy for gestational age newborn,NULL,NULL,N,,NULL
LHC,Cardiac catheterization,NULL,NULL,217,cardiac catheterization,23,666,41976001,C0018795,70052014,2,,,,,NULL,NULL,N,,NULL
LIH,inguinal hernia,NULL,NULL,709,inguinal hernia,15,181,396232000,C0019294,1776213016,1,550.9,Unilateral or unspecified inguinal hernia; without mention of obstruction or gangrene (not specified as recurrent),K40.90,Unilateral inguinal hernia; without obstruction or gangrene; not specified as recurrent,NULL,NULL,N,,NULL
LP,lumbar puncture,NULL,NULL,823,lumbar puncture,15,849,277762005,C0037943,414456014,1,,,,,NULL,NULL,N,,NULL
LPD,lymphoproliferative disorder,NULL,NULL,7342,Lymphoproliferative disorder,28,NULL,277466009,C0024314,413994012,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
LVF,left ventricular failure,NULL,NULL,16063,Left ventricular failure,24,NULL,85232009,C0023212,141306010,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
LVH,left ventricular hypertrophy,NULL,NULL,787,left ventricular hypertrophy,28,220,55827005,C0149721,92841017,1,429.3,Cardiomegaly,I51.7,Cardiomegaly,NULL,NULL,N,,NULL
MCTD,mixed connective tissue disease,NULL,NULL,895,mixed connective tissue disease,31,264,398049005,C0026272,1786074016,2,446.2,Hypersensitivity angiitis; unspecified,,,NULL,NULL,N,,NULL
MD,muscular dystrophy,NULL,NULL,912,muscular dystrophy,18,1000,73297009,C0026850,121722019,2,359.1,Hereditary progressive muscular dystrophy,G71.0,Muscular dystrophy,NULL,NULL,Y,,NULL
MDD,Major depressive disorder,Mental Disorder Study,NULL,NULL,Major depressive disorder,3,NULL,370143000,NULL,370143000,NULL,NULL,NULL,NULL,NULL,ABRV,NULL,N,depression_abbreviation,NULL
MDS,myelodysplastic syndrome,NULL,NULL,920,myelodysplastic syndrome,24,630,109995007,C0026986,2659757019,2,238.75,Myelodysplastic syndrome; unspecified,D46.9,Myelodysplastic syndrome; unspecified,NULL,NULL,N,,NULL
METS,metastases,NULL,NULL,879,metastases,10,551,128462008,C2939419,474417018,2,199.1,Other malignant neoplasm of unspecified site,,,NULL,NULL,N,,NULL
MF,myelofibrosis,NULL,NULL,12961,Myelofibrosis,13,NULL,52967002,C0026987,88122012,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
MI,myocardial infarction,NULL,NULL,923,myocardial infarction,21,273,22298006,C0027051,37437017,2,410.9,Acute myocardial infarction; unspecified site; episode of care unspecified,,,NULL,NULL,N,,NULL
MONO,infectious mononucleosis,NULL,NULL,701,infectious mononucleosis,24,204,271558008,C0021345,406380019,1,75,Infectious mononucleosis,,,NULL,NULL,N,,NULL
MPA,microscopic polyangiitis,NULL,NULL,5845,Microscopic polyangiitis,24,NULL,239928004,C0343192,359497016,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
MR,mitral valve regurgitation,NULL,NULL,12542,Mitral valve regurgitation,26,825,48724000,C0026266,81187013,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
MRSA,methicillin resistant Staphylococcus aureus,NULL,NULL,882,methicillin resistant Staphylococcus aureus,43,629,266096002,NULL,NULL,NULL,41.12,Methicillin resistant Staphylococcus aureus infection in conditions classified elsewhere and of unspecified site,,,NULL,NULL,N,,NULL
MVP,mitral valve prolapse,NULL,NULL,894,mitral valve prolapse,21,263,409712001,C0026267,2471474013,1,424,Mitral valve disorders,,,NULL,NULL,N,,NULL
N&V,nausea and vomiting,NULL,NULL,3275,Nausea and vomiting,19,1242,16932000,C0027498,28667013,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
N&V&D,Nausea & Vomiting & Diarrhea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
N/V,nausea and vomiting,NULL,NULL,3275,Nausea and vomiting,19,1242,16932000,C0027498,28667013,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
N/V/D,nausea vomiting diarrhea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
N+V,Nausea & Vomiting,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
N+V+D,Nausea & Vomiting & Diarrhea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
nDI,nephrogenic Daibetes Insipidus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
NERD,nonerosive esophageal reflux dizease,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
NFM,neurofibromatosis,NULL,NULL,949,neurofibromatosis,17,283,19133005,NULL,NULL,NULL,237.79,Other neurofibromatosis,,,NULL,NULL,N,,NULL
NSVD X1,First degree perineal tear during delivery - delivered,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
NSVD X2,Second degree perineal tear during delivery - delivered,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
NSVD X3,Third degree perineal tear during delivery - delivered,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
NSVD X4,Fourth degree perineal tear during delivery,NULL,NULL,17759,Fourth degree perineal tear during delivery,43,1317,399031001,NULL,2621564018,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
OA,osteoarthritis,NULL,NULL,995,osteoarthritis,14,822,396275006,C0029408,1776248011,1,715.9,Osteoarthrosis; unspecified whether generalized or localized; involving unspecified site,,,NULL,NULL,N,,NULL
OAD,obstructive airways disease,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
OAG,open angle glaucoma,NULL,NULL,15993,Open angle glaucoma,19,NULL,84494001,C0017612,2579462017,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
OBS,organic brain syndrome,NULL,NULL,7361,Organic brain syndrome,22,868,2776000,C0011206,483654019,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
OCP,oral contraceptive use,NULL,NULL,988,oral contraceptive use,22,560,5935008,NULL,NULL,NULL,V25.41,Encounter for surveillance of contraceptive pill,Z30.41,Encounter for surveillance of contraceptive pills,NULL,NULL,N,,NULL
ODD,Oppositional defiant disorder,NULL,NULL,3747,Oppositional defiant disorder,29,NULL,18941000,C0029121,31925017,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
OM,otitis media,NULL,NULL,1009,otitis media,12,300,65363002,C0029882,108598013,2,382.9,Unspecified otitis media,,,NULL,NULL,N,,NULL
OME,otitis media with effusion,NULL,NULL,15383,Otitis media with effusion,26,NULL,78868004,C1455742,503933017,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
osa,obstructive sleep apnea,NULL,NULL,15334,Obstructive sleep apnea,23,1518,78275009,C0520679,2920909013,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PaCO2,arterial carbon dioxide tension,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PaO2,arterial oxygen tension,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PAP,Papanicolaou,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PCKD,polycystic kidney disease,NULL,NULL,15836,Polycystic kidney disease,25,335,82525005,C0311245,505126019,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PCOS,polycystic ovary syndrome,NULL,NULL,14489,Polycystic ovary syndrome,25,336,69878008,C0032460,501422016,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PDA,patent ductus arteriosus,NULL,NULL,15917,Patent ductus arteriosus,24,1334,83330001,C0013274,138208019,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PE,pulmonary embolism,NULL,NULL,1164,pulmonary embolism,18,361,59282003,C0034065,98484016,1,415.19,Other pulmonary embolism and infarction,I26.99,Other pulmonary embolism without acute cor pulmonale,NULL,NULL,N,,NULL
PFO,patent foramen ovale,NULL,NULL,4624,Patent foramen ovale,20,1342,204317008,C0016522,313317014,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PG,pregnancy,NULL,NULL,1125,pregnancy,9,346,77386006,C0549206,128451012,2,V22.2,Pregnant state; incidental,Z33.1,Pregnant state; incidental,NULL,NULL,N,,NULL
PHN,postherpetic neuralgia,NULL,NULL,1117,postherpetic neuralgia,22,580,2177002,C0032768,4765019,1,53.19,Herpes zoster with other nervous system complications,,,NULL,NULL,N,,NULL
PIH,pregnancy-induced hypertension,NULL,NULL,12462,Pregnancy-induced hypertension,30,NULL,48194001,C0340274,80300012,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PMDD,premenstrual dysphoric disorder,NULL,NULL,13592,Premenstrual dysphoric disorder,31,NULL,596004,C0520676,2066014,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PMR,polymyalgia rheumatica,NULL,NULL,1100,polymyalgia rheumatica,22,337,65323003,C0032533,108529013,1,725,Polymyalgia rheumatica,M35.3,Polymyalgia rheumatica,NULL,NULL,N,,NULL
POF,premature ovarian failure,NULL,NULL,1129,premature ovarian failure,25,668,237788002,C0085215,356353015,1,256.39,Other ovarian failure,E28.39,Other primary ovarian failure,NULL,NULL,N,,NULL
PRCA,pure red cell aplasia,NULL,NULL,12753,Pure red cell aplasia,21,NULL,50715003,C0034902,84524014,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PROM,premature rupture of membranes,NULL,NULL,1130,premature rupture of membranes,30,638,44223004,C0015944,73748017,1,658.1,Premature rupture of membranes; unspecified as to episode of care or not applicable,,,NULL,NULL,N,,NULL
PS,pulmonary stenosis,NULL,NULL,17868,Pulmonary stenosis,18,794,56786000,NULL,1231651014,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PSVT,paroxysmal supraventricular tachycardia,NULL,NULL,14236,Paroxysmal supraventricular tachycardia,39,NULL,67198005,C0030590,111643014,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PTCA,percutaneous transluminal coronary angioplasty,NULL,NULL,1858,Percutaneous transluminal coronary angioplasty,46,498,11101003,C2936173,19234014,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PTL,preterm labor,NULL,NULL,1137,preterm labor,13,1063,6383007,C0022876,1218299017,2,644.2,Early onset of delivery; unspecified as to episode of care or not applicable,,,NULL,NULL,N,,NULL
PTSD,post-traumatic stress disorder,NULL,NULL,12398,Post-traumatic stress disorder,30,835,47505003,C0038436,494851018,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
PTX,pneumothorax,NULL,NULL,1091,pneumothorax,12,330,36118008,C0032326,60273016,2,512.8,Other spontaneous pneumothorax,,,NULL,NULL,N,,NULL
PUD,peptic ulcer disease,NULL,NULL,1054,peptic ulcer disease,20,316,13200003,C0030920,1220927019,2,533.9,Peptic ulcer of unspecified site; unspecified as acute or chronic; without mention of hemorrhage or perforation; without mention of obstruction,,,NULL,NULL,N,,NULL
PVD,peripheral vascular disease,NULL,NULL,1063,peripheral vascular disease,27,321,399957001,C0085096,1779317016,1,443.9,Peripheral vascular disease; unspecified,I73.9,Peripheral vascular disease; unspecified,NULL,NULL,N,,NULL
PW,Prader-Willi syndrome,NULL,NULL,18036,Prader-Willi syndrome,21,1484,89392001,NULL,148214012,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
R&R&W,Rales rhonchi wheezes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
R/R/W,rales rhonchi wheezes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
R+R+W,Rales rhonchi wheezes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
RA,rheumatoid arthritis,NULL,NULL,1222,rheumatoid arthritis,20,377,69896004,C0003873,116082011,1,714,Rheumatoid arthritis,,,NULL,NULL,N,,NULL
RAS,renal artery stenosis,NULL,NULL,1197,renal artery stenosis,21,872,302233006,C0035067,443820016,1,440.1,Atherosclerosis of renal artery,I70.1,Atherosclerosis of renal artery,NULL,NULL,N,,NULL
RBBB,right bundle branch block,NULL,NULL,13563,Right bundle branch block,25,NULL,59118001,C0085615,98239015,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
RCC,renal cell carcinoma,NULL,NULL,6313,Renal cell carcinoma,20,NULL,254915003,C0279702,379802010,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
RF,rheumatoid factor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
RHC,Cardiac catheterization,NULL,NULL,217,cardiac catheterization,23,666,41976001,C0018795,70052014,2,,,,,NULL,NULL,N,,NULL
RHD,rheumatic heart disease,NULL,NULL,1221,rheumatic heart disease,23,376,23685000,C0035439,39768012,2,398.9,Rheumatic heart disease; unspecified,I09.9,Rheumatic heart disease; unspecified,NULL,NULL,N,,NULL
RIH,inguinal hernia,NULL,NULL,709,inguinal hernia,15,181,396232000,C0019294,1776213016,1,550.9,Unilateral or unspecified inguinal hernia; without mention of obstruction or gangrene (not specified as recurrent),K40.90,Unilateral inguinal hernia; without obstruction or gangrene; not specified as recurrent,NULL,NULL,N,,NULL
RLS,Restless Legs Syndrome,NULL,NULL,1209,restless legs syndrome,22,761,32914008,C0035258,54936019,2,333.94,Restless legs syndrome (RLS),G25.81,Restless legs syndrome,NULL,NULL,N,,NULL
RSD,reflex sympathetic dystrophy,NULL,NULL,1194,reflex sympathetic dystrophy,28,369,128079007,C0034931,194673013,2,337.2,Reflex sympathetic dystrophy; unspecified,,,NULL,NULL,N,,NULL
RV,right ventricle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
RVF,right ventricular failure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
RVH,right ventricular hypertrophy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SAH,subarachnoid hemorrhage,NULL,NULL,1334,subarachnoid hemorrhage,23,1042,21454007,C0038525,36011016,1,430,Subarachnoid hemorrhage,,,NULL,NULL,N,,NULL
SaO2,arterial oxygen saturation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SB,sinus bradycardia,NULL,NULL,1280,sinus bradycardia ,17,1474,49710005,C0085610,82796018,1,427.81,Sinoatrial node dysfunction,I49.5,Sick sinus syndrome,NULL,NULL,N,,NULL
SBO,small bowel obstruction,NULL,NULL,1295,small bowel obstruction,23,394,281255004,C0235329,419229011,1,560.9,Unspecified intestinal obstruction,K56.60,Unspecified intestinal obstruction,NULL,NULL,N,,NULL
SC,sclerosing cholangitis,NULL,NULL,1243,sclerosing cholangitis,22,1380,235917005,C0008313,353654013,1,576.1,Cholangitis,K83.0,Cholangitis,NULL,NULL,N,,NULL
SCC,squamous cell carcinoma,NULL,NULL,10395,Squamous cell carcinoma,23,634,402815007,C0007137,1781907014,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SCD,sickle cell disease,NULL,NULL,10978,Sickle cell disease,19,522,417357006,C0002895,2553616013,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SCFE,slipped capital femoral epiphysis,NULL,NULL,1294,slipped capital femoral epiphysis,33,1331,26460006,NULL,NULL,NULL,732.2,Nontraumatic slipped upper femoral epiphysis,,,NULL,NULL,N,,NULL
SCID,severe combined immunodeficiency disease,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SD,scleroderma,NULL,NULL,1242,scleroderma,11,380,89155008,C0011644,309413012,1,710.1,Systemic sclerosis,M34.9,Systemic sclerosis; unspecified,NULL,NULL,N,,NULL
SDH,subdural hematoma,NULL,NULL,1336,subdural hematoma,17,642,95453001,NULL,158108016,2,432.1,Subdural hemorrhage,,,NULL,NULL,N,,NULL
SGA,small for gestational age,NULL,NULL,17558,Small for gestational age,25,842,267258002,NULL,2921009018,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SJS,Stevens-Johnson syndrome,NULL,NULL,14840,Stevens-Johnson syndrome,24,NULL,73442001,C0038325,121958017,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SMG,splenomegaly,NULL,NULL,1308,splenomegaly,12,878,16294009,C0038002,27580015,2,789.2,Splenomegaly,R16.1,Splenomegaly; not elsewhere classified,NULL,NULL,N,,NULL
SOB,shortness of breath,NULL,NULL,1269,shortness of breath,19,385,267036007,C0013404,397890011,2,786.09,Other dyspnea and respiratory abnormality,,,NULL,NULL,N,,NULL
SOM,serous otitis media,NULL,NULL,15619,Serous otitis media,19,NULL,80327007,C0271453,133293016,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SpO2,oxygen saturation,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SS,systemic sclerosis,NULL,NULL,16425,Systemic sclerosis,18,380,89155008,C0036421,147833014,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SSS,sick sinus syndrome,NULL,NULL,1275,sick sinus syndrome,19,675,36083008,C0037052,60214017,1,427.81,Sinoatrial node dysfunction,I49.5,Sick sinus syndrome,NULL,NULL,N,,NULL
Staph,Staphylococcus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
STD,sexually transmitted disease,NULL,NULL,15681,Sexually transmitted disease,28,384,8098009,C0036916,14376018,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SUI,stress urinary incontinence,NULL,NULL,5033,Stress urinary incontinence,27,1069,22220005,C0042025,1222719013,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
SVT,supraventricular tachycardia,NULL,NULL,1342,supraventricular tachycardia,28,410,6456007,C0039240,11706015,2,427.89,Other specified cardiac dysrhythmias,I49.8,Other specified cardiac arrhythmias,NULL,NULL,N,,NULL
TAA,thoracic aortic aneurysm,NULL,NULL,1371,thoracic aortic aneurysm,24,881,74883004,NULL,NULL,NULL,441.2,Thoracic aortic aneurysm without mention of rupture,I71.2,Thoracic aortic aneurysm; without rupture,NULL,NULL,N,,NULL
TAH,total abdominal hysterectomy,NULL,NULL,1405,total abdominal hysterectomy,28,1408,116143008,C0404079,184452019,1,,,,,NULL,NULL,N,,NULL
TB,tuberculosis,NULL,NULL,1428,tuberculosis,12,434,56717001,C0041296,94321015,2,11.9,Unspecified pulmonary tuberculosis; unspecified examination,,,NULL,NULL,N,,NULL
TEE,transesophageal echocardiogram,NULL,NULL,1635,Transesophageal echocardiogram,30,NULL,105376000,C0206054,2550028017,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
TGN,trigeminal neuralgia,NULL,NULL,8454,Trigeminal neuralgia,20,431,31681005,C0040997,52934017,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
THC,Tetrahydrocannabinol,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL
TIPS,transjugular intrahepatic portosystemic shunt,NULL,NULL,5330,Transjugular intrahepatic portosystemic shunt,45,NULL,233445008,C0339897,349797010,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
TKR,total knee replacement,NULL,NULL,1407,total knee replacement,22,427,19063003,NULL,NULL,NULL,,,,,NULL,NULL,N,,NULL
TPN,total parenteral nutrition,NULL,NULL,5090,Total parenteral nutrition,26,NULL,225372007,C0030548,338668014,1,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
Trich,trichomonas,NULL,NULL,1422,trichomonas,11,504,35089004,NULL,NULL,NULL,131,Urogenital trichomoniasis; unspecified,A59.00,Urogenital trichomoniasis; unspecified,NULL,NULL,N,,NULL
TVR,Tricuspid valve regurgitation,NULL,NULL,1885,Tricuspid valve regurgitation,29,1043,111287006,C0040961,187711019,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
UC,ulcerative colitis,NULL,NULL,1433,ulcerative colitis,18,436,64766004,C0009324,107642015,2,556.8,Other ulcerative colitis,,,NULL,NULL,N,,NULL
UGI,upper gastrointestinal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
UGIB,upper gastrointestinal bleeding,NULL,NULL,9520,Upper gastrointestinal bleeding,31,440,37372002,C0041909,62346011,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
UIP,usual interstitial pneumonitis,NULL,NULL,4208,Usual interstitial pneumonitis,30,NULL,196125002,C0085786,2475606014,2,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
UTI,urinary tract infection,NULL,NULL,1465,urinary tract infection,23,444,68566005,C0042029,113883012,2,599,Urinary tract infection; site not specified,N39.0,Urinary tract infection; site not specified,NULL,NULL,N,,NULL
Vag,vaginal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
VSD,ventricular septal defect,NULL,NULL,1489,ventricular septal defect,25,568,30288003,C0018818,50693015,1,745.4,Ventricular septal defect,Q21.0,Ventricular septal defect,NULL,NULL,N,,NULL
VT,ventricular tachycardia ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
vWD,von Willebrand's disease           ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,,NULL
vWF,von Willebrand's factor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
